,Comment,Likes,Time,UserLink,user
106,Gabut = gaji buta 😂😂,24,2 months ago,/channel/UCYpgcB1C2zLR-tOWyy2mdhQ,_ Email
107,"Ariel... orang cerdas
Ariel ..sang puitis
Aeiel...sang penulis
Ariel..sang arsitek
Ariel...sang penakhluk wanita
Ariel juga...sang rendah hati
Sukses kang ariel",5,1 month ago,/channel/UCNzZvOrKk33_o8zzi__iEuw,Muji W
108,"Narasinya bagus, peran arielnya juga bagus. Keren lah gosend",8,2 months ago,/channel/UCxXJegmLmhfU4wIehtrm-hA,AM Galeri
109,Keren nih agency nya..,27,2 months ago,/channel/UCgscle6lzn5UOc8MkLkuUNQ,Wisnu Andri
110,"Siapapun tim produksi iklan ini, elu kereenn bangeet 👍👍",7,2 months ago,/channel/UCGzmQdpfpJpT2V6qgdRGJvg,AbilBantet
111,Gokil ariel actingnya 2:10,34,2 months ago,/channel/UCusJMboYoZlpjXdTmTdzPEw,draken mikey
112,coba Ariel yg jadi kurirnyaa beuhh seneng banget wkwkwk,15,2 months ago,/channel/UC9fpqWQmK4zJd3qgcQiQ8Sw,wahyu firdaus
113,"Ini baru iklan yang sangat ciamik,, ide cerita nya lucu bagus ,, ini iklan terbaik yang pernah aku liat,, pintar yang buat iklan nya 👍👍",5,2 months ago,/channel/UCi4ClVQI3t_9f-7tqSPZdfA,Dani Ramdani
114,"Mampir kesini karna bang Ariel gokil banget sih ini iklan sampe ngakak gue tiap dialognya😂
Kreatif banget sumpah😭😂",4,2 months ago,/channel/UC3lnC_uOic3X-44l-nIG7xg,DB20
115,HBRD wish you all the best Ariel,101,2 months ago,/channel/UCUqM4f-GGCriWZiEdCgchdA,Adelia Pinnot
116,Iklanya ditonton berulang ulang tetep ng bosenin😍😍,8,2 months ago,/channel/UCgKHi73Brj_kD8GEflLG-Kg,channel aqlabiek
117,SAHABAT NOAH NUSANTARA...🙌🇮🇩,33,2 months ago,/channel/UCMUGOcfnMXnQapH3qQiElrA,Mardhal Channel
118,"Rumahnya No. 4 H
Canda NOAH 🤣",26,2 months ago,/channel/UCYMYEWQ9b5jwt9nxiiKa-2A,Huda HET
119,Dari dulu kata-kata Boriel sangat puitis ✨😅,86,2 months ago,/channel/UCneCY9qoYhMRzQ1prilhcKw,Nazrul Fhang
120,Dah cocok tuh bang boriel main film donk....,37,2 months ago,/channel/UCxU3WhKkSdQD8WKBY8ljiHA,gerhanie hanie
121,"Gojek kan paling jago kalo bikin iklan, dari komedi sampe serius bisa, mantab👌😁",0,2 weeks ago,/channel/UC9DmoKR-7sG4Owmnvm8IA-Q,Dhany Muhammad
122,"Gak cowo gak cewe liat Ariel pasti terkesima,panutan emang",7,2 months ago,/channel/UC1ix5ULLoR2wlClc-B_PuMg,Legend Gaming
123,Epic 😂,18,2 months ago,/channel/UCpipOVkWUcPUrtSM6xyd0tQ,Joey
124,anjiiirrrr kok ngakak endingnya 🤣🤣🤣,9,2 months ago,/channel/UCkqprUcUWtLUrKoGfPKb2GA,Callsign Motegi
125,Kocaaaakkkkkkk... Ada aja idenya keren,9,2 months ago,/channel/UCQ7h3k3dHDKE23pEUBCUvKg,Raden X
126,Kesini gegara iklan Gosend di Efbeh 😂😂😂,17,2 months ago,/channel/UC0cpq98YpNyeNXb5h_lqBZw,R_Channel
127,"Keren...disini Ariel akting, nyanyi dan baca narasinya jg",8,2 months ago,/channel/UCytu9exM6MHWAgt6ytg1k8w,Anna
128,"Gw yakin rating Gojek beberapa hari ke depan langsung naik,walau receh,setidaknya seorang ariel bisa ngelawak,dan berakting..😁👍",6,2 months ago,/channel/UCnu4R_z9ti3ZWWDFCmW8tUg,Andhika Eka
129,duuuhhhh suara kamu bang Ariel 😍,19,2 months ago,/channel/UCZlq0y87lBhdaFK5FkvMOhQ,Yusnita Yusuf
130,Jadi tambah semangat nih bos gw sebagai mitra gojek prioritas Gosend smngtttt 👍👍👍,3,1 month ago,/channel/UC7qajK4vpdaN1sryVi0XIsg,delta fauzi
131,Ngakak.... 😂😂 Kereenn bgt siii,24,2 months ago,/channel/UCmQQJ5WPK6TqUrPry8faHCA,mailinda hasan
132,lucu sii kirain motor dia yang di cuci eh motor orang ternyata,87,2 months ago,/channel/UC9Rj8LycgHZDd6QskIOFAqw,main Personaal
133,"Makasih Gosend, bisa buat aril stand up comedy 😂",5,2 months ago,/channel/UCyFzAqqN3BhmSrBSxq1Ib0Q,wildanul irsyad
134,Bang ariel cocok kalo solo karier. Suaranya sgt akustik,5,2 months ago,/channel/UCCewDg443Ed9bNVXyeVSxrw,sayyidizzat
135,GOKILLLL,96,2 months ago,/channel/UCFUNn9Buzz1NDmc0BWObEzg,Gametorialist
136,"Keren banget Ariel, gak salah dari awal mengidolakan sosok nya ...mantap banget",3,1 month ago,/channel/UC0KwTI-W_6Wfj3N69xiIxag,KecaMbah Googel
